n, statements
1349, 915547
1350, 916150
1351, 918539
1352, 920292
1353, 922177
1354, 923480
1355, 925063
1356, 926862
1357, 927577
1358, 928120
1359, 930355
1360, 932422
1361, 934149
1362, 934466
1363, 935653
1364, 936572
1365, 939073
1366, 940740
1367, 942569
1368, 943004
1369, 944527
1370, 944994
1371, 947451
1372, 947692
1373, 949883
1374, 952022
1375, 953777
1376, 954466
1377, 955381
1378, 956012
1379, 956285
1380, 957754
1381, 958281
1382, 959026
1383, 961479
1384, 962276
1385, 963327
1386, 965804
1387, 967575
1388, 968450
1389, 970873
1390, 971410
1391, 972153
1392, 974114
1393, 975563
1394, 977104
1395, 978057
1396, 980406
1397, 982281
1398, 984998
1399, 985531
1400, 986812
1401, 989045
1402, 991326
1403, 991453
1404, 993762
1405, 995477
1406, 997548
1407, 999175
1408, 1001370
1409, 1003303
1410, 1004388
1411, 1006867
1412, 1008768
1413, 1009127
1414, 1009166
1415, 1009463
1416, 1010102
1417, 1012259
1418, 1013554
1419, 1014871
1420, 1015198
1421, 1016329
1422, 1018116
1423, 1020883
1424, 1022242
1425, 1024687
1426, 1026242
1427, 1026467
1428, 1028412
1429, 1029831
1430, 1031012
1431, 1031551
1432, 1032234
1433, 1032547
1434, 1033054
1435, 1033223
1436, 1034382
1437, 1036981
1438, 1038718
1439, 1039561
1440, 1040196
1441, 1043049
1442, 1045472
1443, 1046437
1444, 1047418
1445, 1048893
1446, 1050884
1447, 1052641
1448, 1054664
1449, 1057265
1450, 1058260
1451, 1060131
1452, 1062508
1453, 1064385
1454, 1066878
1455, 1068379
1456, 1068860
1457, 1069831
1458, 1070120
1459, 1071925
1460, 1073986
1461, 1075203
1462, 1076386
1463, 1078659
1464, 1080200
1465, 1082311
1466, 1083412
1467, 1083971
1468, 1085496
1469, 1088097
1470, 1088332
1471, 1090973
1472, 1093558
1473, 1095483
1474, 1096048
1475, 1096953
1476, 1097648
1477, 1098375
1478, 1099096
1479, 1099677
1480, 1101424
1481, 1102637
1482, 1105020
1483, 1106209
1484, 1107030
1485, 1109079
1486, 1109714
1487, 1112061
1488, 1114430
1489, 1117025
1490, 1117116
1491, 1118137
1492, 1121054
1493, 1122429
1494, 1123466
1495, 1124911
1496, 1126682
1497, 1127021
1498, 1128390
1499, 1130273
1500, 1131230
1501, 1133441
1502, 1134458
1503, 1137451
1504, 1137750
1505, 1137835
1506, 1140230
1507, 1141735
1508, 1143414
1509, 1146041
1510, 1146486
1511, 1147975
1512, 1149826
1513, 1150861
1514, 1152654
1515, 1154007
1516, 1156456
1517, 1158703
1518, 1159124
1519, 1159533
1520, 1160962
1521, 1161669
1522, 1164056
1523, 1167049
1524, 1167862
1525, 1168309
1526, 1171122
1527, 1172281
1528, 1173144
1529, 1173951
1530, 1174714
1531, 1176173
1532, 1177068
1533, 1179797
1534, 1180388
1535, 1183297
1536, 1184050
1537, 1185733
1538, 1185860
1539, 1187601
1540, 1190390
1541, 1191579
1542, 1193098
1543, 1194017
1544, 1194850
1545, 1196199
1546, 1199218
1547, 1200741
1548, 1200830
1549, 1203803
1550, 1206266
1551, 1208275
1552, 1211156
1553, 1212677
1554, 1214140
1555, 1217223
1556, 1219972
1557, 1220941
1558, 1221178
1559, 1221267
1560, 1222446
1561, 1223749
1562, 1223826
1563, 1226695
1564, 1227702
1565, 1230095
1566, 1231840
1567, 1234809
1568, 1237412
1569, 1240447
1570, 1242152
1571, 1242499
1572, 1243970
1573, 1245265
1574, 1248160
1575, 1248743
1576, 1250746
1577, 1251869
1578, 1252710
1579, 1255745
1580, 1258380
1581, 1261539
1582, 1263088
1583, 1264513
1584, 1265458
1585, 1268033
1586, 1271064
1587, 1271597
1588, 1274254
1589, 1275435
1590, 1277706
1591, 1277749
1592, 1277866
1593, 1279593
1594, 1280132
1595, 1282467
1596, 1282598
1597, 1283401
1598, 1284432
1599, 1285281
1600, 1285770
1601, 1286613
1602, 1288700
1603, 1289367
1604, 1292170
1605, 1293551
1606, 1293884
1607, 1295835
1608, 1296528
1609, 1298345
1610, 1298560
1611, 1298591
1612, 1299652
1613, 1301831
1614, 1303388
1615, 1304747
1616, 1306010
1617, 1307893
1618, 1308444
1619, 1311169
1620, 1313818
