n, statements
873, 4466297
874, 4470163
875, 4471021
876, 4473750
877, 4483708
878, 4484218
879, 4491909
880, 4492831
881, 4496131
882, 4505741
883, 4509868
884, 4518177
885, 4527910
886, 4530047
887, 4534022
888, 4540196
889, 4545419
890, 4554718
891, 4560677
892, 4564677
893, 4565273
894, 4574703
895, 4580487
896, 4589555
897, 4598951
898, 4607035
899, 4609861
900, 4613568
901, 4617532
902, 4617724
903, 4625635
904, 4632198
905, 4636609
906, 4645267
907, 4648553
908, 4652368
909, 4657092
910, 4658629
911, 4663008
912, 4672285
913, 4677443
914, 4678524
915, 4686910
916, 4696422
917, 4700002
918, 4706577
919, 4708466
920, 4712972
921, 4721929
922, 4727689
923, 4733070
924, 4737203
925, 4737654
926, 4744880
927, 4748979
928, 4758009
929, 4759344
930, 4759783
931, 4760969
932, 4766107
933, 4768055
934, 4775997
935, 4782421
936, 4787449
937, 4789452
938, 4796939
939, 4804915
940, 4809176
941, 4812785
942, 4817827
943, 4824498
944, 4824589
945, 4827233
946, 4831413
947, 4834067
948, 4837546
949, 4840729
950, 4844675
951, 4848737
952, 4854275
953, 4859401
954, 4861377
955, 4864009
956, 4868370
957, 4872346
958, 4877339
959, 4886334
960, 4893047
961, 4894451
962, 4900555
963, 4907201
964, 4909986
965, 4915058
966, 4923762
967, 4925539
968, 4929772
969, 4930348
970, 4934803
971, 4940654
972, 4940738
973, 4949872
974, 4958115
975, 4960922
976, 4967063
977, 4969755
978, 4979142
979, 4985131
980, 4987588
981, 4988041
982, 4991435
983, 4998208
984, 5006814
985, 5008758
986, 5010264
987, 5016170
988, 5021422
989, 5026274
990, 5026280
991, 5032046
992, 5038153
993, 5046265
994, 5054013
995, 5060295
996, 5060999
997, 5062411
998, 5067126
999, 5071588
1000, 5077485
1001, 5079420
1002, 5086483
1003, 5093116
1004, 5101075
1005, 5101412
1006, 5108441
1007, 5110288
1008, 5115731
1009, 5116543
1010, 5124470
1011, 5132040
1012, 5139430
1013, 5144236
1014, 5149299
1015, 5150649
1016, 5160272
1017, 5166627
1018, 5170987
1019, 5174560
1020, 5183107
1021, 5190538
1022, 5199770
1023, 5209116
1024, 5212542
1025, 5216048
1026, 5218068
1027, 5227201
1028, 5227470
1029, 5228775
1030, 5232757
1031, 5240571
1032, 5241021
1033, 5243436
1034, 5245562
1035, 5246384
1036, 5250411
1037, 5259044
1038, 5265098
1039, 5271017
1040, 5272731
1041, 5280906
1042, 5284858
1043, 5294730
1044, 5297610
1045, 5300938
1046, 5301338
1047, 5311040
1048, 5319725
1049, 5328144
1050, 5332728
1051, 5339929
1052, 5345115
1053, 5354265
1054, 5360687
1055, 5364146
1056, 5364632
1057, 5366834
1058, 5371191
1059, 5376138
1060, 5379613
1061, 5386624
1062, 5395438
1063, 5404213
1064, 5404510
1065, 5408784
1066, 5412081
1067, 5421062
1068, 5423312
1069, 5425273
1070, 5427994
1071, 5435084
1072, 5438821
1073, 5445974
1074, 5449072
1075, 5454450
1076, 5459982
1077, 5466448
1078, 5472949
1079, 5480057
1080, 5484266
1081, 5491995
1082, 5498306
1083, 5506773
1084, 5514520
1085, 5518955
1086, 5520836
1087, 5526363
1088, 5533529
1089, 5537536
1090, 5545236
1091, 5552593
1092, 5555063
1093, 5555083
1094, 5564831
1095, 5570587
1096, 5579303
1097, 5586072
1098, 5592661
1099, 5597453
1100, 5600453
1101, 5607665
1102, 5608455
1103, 5614314
1104, 5620811
1105, 5626946
1106, 5634985
1107, 5636246
1108, 5643204
1109, 5647491
1110, 5654816
1111, 5659092
1112, 5659675
1113, 5666780
1114, 5667139
1115, 5667440
1116, 5675813
1117, 5684553
1118, 5686397
1119, 5689170
1120, 5695325
1121, 5703902
1122, 5707441
1123, 5712797
1124, 5713117
1125, 5719628
1126, 5724863
1127, 5726395
1128, 5736231
1129, 5742502
1130, 5749291
1131, 5750229
1132, 5752875
1133, 5753743
1134, 5759314
1135, 5766900
1136, 5776210
1137, 5777308
1138, 5780007
1139, 5788600
1140, 5798235
1141, 5802335
1142, 5809435
1143, 5819090
1144, 5820826
1145, 5829746
1146, 5836268
1147, 5837535
1148, 5844156
1149, 5850058
1150, 5859360
1151, 5868333
1152, 5871490
1153, 5878780
1154, 5884991
1155, 5892436
1156, 5900504
1157, 5909039
1158, 5915588
1159, 5921406
1160, 5927131
1161, 5930987
1162, 5931318
1163, 5938848
1164, 5939443
1165, 5940188
1166, 5943029
1167, 5946987
1168, 5955976
1169, 5961722
1170, 5961889
1171, 5966951
1172, 5970812
1173, 5977021
1174, 5981667
1175, 5984612
1176, 5985979
1177, 5991551
1178, 5993317
1179, 6000488
1180, 6006641
1181, 6006793
1182, 6012453
1183, 6017693
1184, 6027111
1185, 6031073
1186, 6035069
1187, 6038867
1188, 6048239
1189, 6056428
1190, 6063354
1191, 6065643
1192, 6073207
1193, 6078009
1194, 6086242
1195, 6092943
1196, 6100465
1197, 6104384
1198, 6110195
1199, 6117112
1200, 6121193
1201, 6126047
1202, 6133668
1203, 6136038
1204, 6143942
1205, 6148295
1206, 6158219
1207, 6161520
1208, 6163237
1209, 6170572
1210, 6173946
1211, 6183555
1212, 6186691
1213, 6192697
1214, 6195505
1215, 6198301
1216, 6200322
1217, 6204881
1218, 6212121
1219, 6218832
1220, 6219398
1221, 6226620
1222, 6228369
1223, 6229230
1224, 6235782
1225, 6239431
1226, 6245682
1227, 6248671
1228, 6254425
1229, 6259480
1230, 6266172
1231, 6275333
1232, 6280488
1233, 6284120
1234, 6287726
1235, 6292958
1236, 6294533
1237, 6297676
1238, 6301026
1239, 6310545
1240, 6311764
1241, 6312527
1242, 6321012
1243, 6328747
1244, 6338353
1245, 6344971
1246, 6348782
1247, 6354840
1248, 6357852
1249, 6365481
1250, 6374837
1251, 6375596
1252, 6375819
1253, 6384978
1254, 6394821
1255, 6403210
1256, 6409245
1257, 6412281
1258, 6420650
1259, 6422722
1260, 6426231
1261, 6432913
1262, 6435030
1263, 6437344
1264, 6441304
1265, 6442556
1266, 6449905
1267, 6457198
1268, 6460974
1269, 6465661
1270, 6468243
1271, 6473485
1272, 6473969
1273, 6481336
1274, 6489418
1275, 6494578
1276, 6501893
1277, 6504714
1278, 6513027
1279, 6514352
1280, 6520747
1281, 6522593
1282, 6527892
1283, 6530352
1284, 6532075
1285, 6537398
1286, 6538605
1287, 6539967
1288, 6546162
1289, 6547777
1290, 6552385
1291, 6556431
1292, 6566068
1293, 6566859
1294, 6569676
1295, 6577070
1296, 6578728
1297, 6582628
1298, 6587227
1299, 6591849
1300, 6596335
1301, 6599128
1302, 6601077
1303, 6608656
1304, 6615513
1305, 6625011
1306, 6627409
1307, 6636070
1308, 6641962
1309, 6646441
1310, 6647689
1311, 6652099
1312, 6658580
1313, 6660360
1314, 6661385
1315, 6667248
1316, 6670604
1317, 6680073
1318, 6688164
1319, 6695416
1320, 6696302
1321, 6699497
1322, 6701615
1323, 6710653
1324, 6713408
1325, 6718361
1326, 6727883
1327, 6729925
1328, 6730874
